screen_name, date, text, retweet_count, favourites_count
Orietta's Recipes,2020-01-17 18:09:56,Stasera cena a base di pesce! Tonno alla piastra con salsa di soia e menta 😋 😋. Veloce sano e gustoso. La ricetta ⬇️ https://t.co/RMDtXeq6tP #food #FridayMotivation #FelizViernes #weekend #17gennaio https://t.co/Hn2G3WWAPD,15,49
Orietta's Recipes,2020-01-17 11:57:39,"Buon pranzo, io oggi pranzo leggero con il mio  cous cous alle verdure speziato 😁😘. 🍷. Buon appetito #FridayMotivation #FelizViernes #food #foodie #venerdi17 #17gennaio https://t.co/bRXUw8oE4L",23,67
Orietta's Recipes,2020-01-17 07:51:15,Buongiorno e grazie ancora a tutti per gli auguri!!! 😍 😍 😁😘😍❤️Oggi colazione salata con i miei Panini al latte! Voi dolce o salata quale scegliete? https://t.co/xgC8CPCg4e #food #FelizViernes #venerdi17 #foodie https://t.co/5QUuXECpBm,16,85
Orietta's Recipes,2020-01-16 17:28:59,Biscotti delicati di sabbia 😋 ❤️😘🥂🥂🍾.! https://t.co/nIEx5mslxr,25,166
Orietta's Recipes,2020-01-16 13:51:03,Oggi è il mio compleanno 🎂 🥂 ❤️ amici! Vorrei ringraziarvi tutti ☺️ di persone e ricevere un  bacio da tutti 😘. È bello condividere questo  giorno speciale per me Ringrazio Dio per la vita che mi ha donato. Grazie per il vostro affetto 😘 #16gennaio https://t.co/n13Krz5b9d,45,482
Orietta's Recipes,2020-01-16 11:46:01,Io oggi riso integrale con crema di piselli 😋 👩🏻‍🍳. Buon pranzo ❤️https://t.co/XAP543CRMF #16gennaio #ThursdayMotivation #FelizJueves #foodie #food https://t.co/PcY7l6EuBQ,14,68
Orietta's Recipes,2020-01-16 07:36:10,Oggi ho proprio voglia di qualcosa di buono dolce e coccoloso 💕😘💕. Le mie eclaire alla panna ricoperte di cioccolato e granella di pistacchi saranno perfette per iniziare la giornata 😁https://t.co/GydPKUmeup #ThursdayMotivation #FelizJueves #foodie #16gennaio #yummy https://t.co/Yp5EjMgSPL,26,117
Orietta's Recipes,2020-01-15 18:24:25,"Buona cena amici, io stasera polpette di halibut con composta di mele e zenzero, 😁🍷🍷😊https://t.co/vFaA3Zrh03 #WednesdayMotivation #FelizMiercoles #food #yummy #15gennaio https://t.co/XsK9gyswIY",25,104
Orietta's Recipes,2020-01-15 11:39:56,Oggi ho proprio voglia di un piatto di trofie al ragù di mare e melanzane 🍷🍷😋😋. Voi no? Buon pranzo 🍷 https://t.co/ylRzZEhop7 #WednesdayMotivation #FelizMiercoles #food #cucina #yummy #15gennaio https://t.co/WrpDGkBuLQ,17,62
Orietta's Recipes,2020-01-15 07:38:50,Buongiorno! 😁😘 oggi condivido con voi la mia 😀Nuova ricetta 😊 Sono dei biscotti alle nocciole e gocce di cioccolato a cui non  resisterete 😍😍 ☕ https://t.co/tG6IYwV7cw #15gennaio #yummy #delicious #Food #WednesdayMotivation #FelizMiercoles https://t.co/UdXAl69h0L,48,171
Orietta's Recipes,2020-01-14 17:59:22,"Stasera per cena, involtini di cavolo cinese con maiale e gamberi 🍷. Felice serata 💕 https://t.co/XSC4oNiRvL #14gennaio #FelizMartes #ThursdayMotivation #food https://t.co/oaFRBhXwiq",21,102
